商品名称,商品编号,商品品牌,市场售价,本店售价,积分购买额度,商品原始图,商品图片,商品缩略图,商品关键词,简单描述,详细描述,商品重量（kg）,库存数量,库存警告数量,是否精品,是否新品,是否热销,是否上架,能否作为普通商品销售,是否实体商品,图片列表,商品分类,商品类型名,商品类型属性列表,商品属性列表
可瑞康Karicare羊奶粉3段（六罐包邮）,ECS000179,纽迪希亚 Nutricia,520,380,3,images/201409/source_img/22_G_14114294312662.jpg,images/201409/goods_img/22_G_14114362980237.jpg,,奶粉 可瑞康 Karicare 羊奶粉 3段,奶粉 可瑞康 Karicare 羊奶粉 3段,"<P><IMG src=""images/upload/Image/20140923210559085_39770780.jpg""><IMG src=""images/upload/Image/20140923210559108_65378560.jpg""><IMG src=""images/upload/Image/20140923210559117_3123459.jpg""><IMG src=""images/upload/Image/20140923210559130_38017348.jpg""><IMG src=""images/upload/Image/20140923210559140_57954346.jpg""><IMG src=""images/upload/Image/20140923210559150_78384954.jpg""><IMG src=""images/upload/Image/20140923210559159_55676356.jpg""><IMG src=""images/upload/Image/20140923210559170_70506980.jpg""><IMG src=""images/upload/Image/20140923210559180_11461619.jpg""><IMG src=""images/upload/Image/20140923210559191_22965797.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
Babysteps 婴儿山羊奶粉1段（六罐包邮）,ECS000180,百益康 Bio Active,435,368,3,images/201409/source_img/23_G_14114295530642.jpg,images/201409/goods_img/23_G_14114308617684.jpg,,奶粉 Babysteps 婴儿山羊奶粉 1段,奶粉 Babysteps 婴儿山羊奶粉 1段,"<P><IMG src=""images/upload/Image/20140923211203795_14552561.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
Babysteps 婴儿山羊奶粉2段（六罐包邮）,ECS000181,百益康 Bio Active,360,300,3,images/201409/source_img/24_G_14114356130379.jpg,images/201409/goods_img/24_G_14114369600383.jpg,,奶粉 Babysteps 婴儿山羊奶粉 2段,奶粉 Babysteps 婴儿山羊奶粉 2段,"<P><IMG src=""images/upload/Image/20140923212009023_78636043.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
Babysteps 婴儿山羊奶粉3段（六罐包邮）,ECS000182,百益康 Bio Active,360,300,3,images/201409/source_img/25_G_14114375697383.jpg,images/201409/goods_img/25_G_14114301680462.jpg,,奶粉 Babysteps 婴儿山羊奶粉 3段,奶粉 Babysteps 婴儿山羊奶粉 3段,"<P><IMG src=""images/upload/Image/20140923212305100_93602758.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
Fresco 芙思柯婴幼儿羊奶粉金装1段（六罐包邮）,ECS000183,芙思柯 Fresco,336,284,2,images/201409/source_img/26_G_14114309896341.jpg,images/201409/goods_img/26_G_14114319435642.jpg,,奶粉 Fresco 芙思柯 婴儿山羊奶粉 1段,奶粉 Fresco 芙思柯 婴儿山羊奶粉 1段,"<P><IMG src=""images/upload/Image/20140923213613921_58657886.jpg""><IMG src=""images/upload/Image/20140923213613933_70072144.jpg""><IMG src=""images/upload/Image/20140923213622324_15687387.jpg""><IMG src=""images/upload/Image/20140923213622337_14056060.jpg""><IMG src=""images/upload/Image/20140923213622347_41666013.jpg""><IMG src=""images/upload/Image/20140923213622359_5074161.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
Fresco 芙思柯婴幼儿羊奶粉金装2段（六罐包邮）,ECS000184,芙思柯 Fresco,336,284,2,images/201409/source_img/27_G_14114362126005.jpg,images/201409/goods_img/27_G_14114356995399.jpg,,奶粉 Fresco 芙思柯 婴儿山羊奶粉 2段,奶粉 Fresco 芙思柯 婴儿山羊奶粉 2段,"<P><IMG src=""images/upload/Image/20140923213613921_58657886.jpg""><IMG src=""images/upload/Image/20140923213613933_70072144.jpg""><IMG src=""images/upload/Image/20140923214054754_39279295.jpg""><IMG src=""images/upload/Image/20140923214054767_86868651.jpg""><IMG src=""images/upload/Image/20140923214054779_25361300.jpg""><IMG src=""images/upload/Image/20140923214054805_28335732.jpg""></P>",0.9,1,1,0,0,0,1,1,1,,,,,
Fresco 芙思柯婴幼儿羊奶粉金装3段（六罐包邮）,ECS000185,芙思柯 Fresco,336,284,2,images/201409/source_img/28_G_14114374518408.jpg,images/201409/goods_img/28_G_14114361005999.jpg,,奶粉 Fresco 芙思柯 婴儿山羊奶粉 3段,奶粉 Fresco 芙思柯 婴儿山羊奶粉 3段,"<p><img src=""/images/upload/Image/20140923214534980_99178559.jpg"" alt="""" /><img src=""/images/upload/Image/20140923214535004_1333496.jpg"" alt="""" /><img src=""/images/upload/Image/20140923214541963_96855283.jpg"" alt="""" /><img src=""/images/upload/Image/20140923214541985_91193772.jpg"" alt="""" /><img src=""/images/upload/Image/20140923214541996_27308292.jpg"" alt="""" /><img src=""/images/upload/Image/20140923214542008_8290929.jpg"" alt="""" /></p>",0.9,1,1,0,0,0,1,1,1,,,,,
Carina 全脂成人奶粉 (6罐包邮),ECS000029,Carina,165,110,1,images/201409/source_img/29_G_14115123928750.jpg,images/201409/goods_img/29_G_14115111430347.jpg,,Carina 全脂 成人奶粉,Carina Instant Full Cream Milk Powder 800g 6PK,"<P><IMG src=""/images/upload/Image/20140924211925135_50926028.jpg""></P>",800,20,1,0,0,1,1,1,1,,,,,
安佳 Anchor 全脂成人奶粉 (6袋包邮),ECS000030,安佳 Anchor,0,0,0,images/201409/source_img/30_G_14115149430609.jpg,images/201409/goods_img/30_G_14115080410278.jpg,,安佳 Anchor 全脂 成人奶粉 (6袋包邮),Anchor Full milk powder x6 (BOX),"<P><IMG src=""/images/upload/Image/20140924212336943_60427427.jpg""><IMG src=""/images/upload/Image/20140924212336959_15755428.jpg""><IMG src=""/images/upload/Image/20140924212336970_56249300.jpg""><IMG src=""/images/upload/Image/20140924212336982_9561405.jpg""></P>",1,30,1,0,0,1,1,1,1,,,,,
多爱宝Lotcare Triamour 特级儿童成人全脂奶粉（6袋包邮）,ECS000031,多爱宝 Lotcare Triamour,168,140,1,images/201409/source_img/31_G_14115167946945.jpg,images/201409/goods_img/31_G_14115154727578.jpg,,多爱宝 Lotcare Triamour 特级儿童成人 全脂奶粉,Lotcare Triamour Whole Milk Instan Powder 1kg,"<P><IMG src=""/images/upload/Image/20140924213429179_39718674.jpg""></P>",1,30,1,0,1,0,1,1,1,,,,,
